Nof lines WG output:   640
Nof lines PFFT output: 640
      23      66
      78       4
     -96     -64
      37     -32
      14     -45
     -56     100
     -18     -26
      15      32
     127       0
     118      38
     -58     -33
     127       0
      31     -61
      -3      21
      30      -8
      -9      -8
      -5      61
      64      12
      60       8
      60      68
      29     -34
     -52      30
      31      36
      70     -10
      21       9
      44     -50
      31     -49
     -13       4
      13      31
     -34     110
      38     -28
     -49       8
     -46      -4
     -35     -82
    -126     -19
      61     -77
      14      36
     -32     -38
      58       4
     -73     -23
      -4      13
     -10     -26
      14      21
      13      32
     -37      73
      -1      -8
      -7     -91
      27     -36
      47      58
      47     -46
     -37      41
       3       5
     -52      61
     -48     -84
       0      -8
      65     -52
     -33     124
      16      35
     -10      59
      48     -45
     -46     -20
       1     -12
      24      47
      47     -12
      30     -13
     -88       1
     -15       2
     -35      35
     -67      65
      22      20
      12      -9
       1      27
     -57       8
      48     -44
      15      41
     -13      13
       1       6
     -11      22
     -75      11
     -12     -40
     -35      -7
     -42      -6
     -49     -23
     -23      72
     -85     -37
      41     -21
      22     -30
      -1     -50
      -1      -8
     -34     -12
      43      65
      -6     -11
     -30     -45
      58      68
     -10      53
     -25     -10
     -13     -64
     -36     -19
     -48      -7
     108      12
      71     -11
      13      19
     -54      17
     -37     -53
      -8     -40
      34     -32
     -57     -22
     -99     -14
     -62       1
      14    -128
      17     -19
      19      53
      -6     -46
       8      40
     -20      15
      37      -1
     -58       8
      19     -67
     -36      -4
     -14      68
      24       4
      44       2
     -48     -31
      54      -1
      28      10
      -3      18
      -8     -16
      -9     -10
      86     -43
     -96     -20
      95       6
      14     -12
      43      13
     -71      17
     -25     -40
     -12      -8
      18     -91
     -71      49
      20     -27
     -52     -51
       3     -11
      28     -61
      14      -1
      46     -24
      43      93
     -28      49
      11    -107
     -40      19
     -56     -60
      39     -11
       0       7
      -2      32
      39     -12
      25      67
      15     -21
      53      14
      40      28
      10       4
     -29      38
     -28      14
      51     -33
     -69     -77
      -1      79
     -83     -26
      44       4
      37      24
       0       5
      -3     -39
    -106     -20
      25      -5
     -94      63
     -99     -37
       3      33
     -40      13
      18     -10
      29     -45
      37     -12
     -29      -4
      19     -63
       4       8
      35     -35
      23      -4
      38      14
      -6     -39
      -6     -12
      43      15
     -91     -78
     -22      44
     -54     103
     -16      41
      28     -13
      35      18
     -44     -18
      80      25
      40      -3
      34     -86
     -37     -42
      14      26
     -24      -2
     -13     -48
     -24     -27
     -44      11
     -39     -42
      -9      42
     -72     -27
      26      77
      -5     -46
      30       8
      12     -65
