63,106
-42,18
59,108
46,-90
-44,30
-35,-34
-43,80
-9,17
94,124
115,39
16,-76
113,-105
84,-95
-58,124
-41,118
-84,95
118,68
-23,18
93,-113
107,77
73,-6
-39,-15
-109,108
67,-62
24,-88
16,-120
47,-67
32,77
61,-113
57,98
-42,-32
-62,-76
-68,-49
110,-101
-14,-72
66,-43
-23,35
53,28
42,-47
105,-107
60,2
-46,13
99,61
-53,111
106,-125
124,-86
-9,106
89,-106
-42,-37
-106,-57
126,-77
-58,-36
29,-54
107,-104
-61,-95
-38,-8
68,6
5,-40
-37,21
-36,-40
69,84
-100,92
-107,-61
116,-118
104,-33
-33,-7
-102,-43
-34,51
48,-51
106,-64
16,64
23,-19
-38,59
-46,-9
-123,-101
-21,19
109,-12
-42,44
-50,-54
-92,58
30,96
12,-118
108,62
-73,49
84,95
-29,-66
69,83
-72,76
97,77
-13,-103
100,34
-36,98
49,-52
23,-61
81,15
-85,84
-85,61
16,-80
18,89
95,49
25,-109
0,111
-50,13
-35,8
83,-44
6,59
16,-50
63,-73
40,-89
125,-102
48,-81
24,86
65,-41
19,64
76,102
108,4
69,-18
-59,-69
114,-31
92,126
23,-54
-89,-94
63,3
22,59
65,-47
-111,-111
-22,93
99,40
96,-90
112,38
-42,-78
-103,102
-1,122
-103,10
94,-60
-100,-13
36,-126
-41,-29
-47,13
90,99
18,-61
-5,56
35,-114
-62,70
-101,58
-35,-28
5,19
-88,-31
-95,-33
92,58
-59,90
-43,42
-55,37
54,22
-121,-44
-126,-68
-106,20
-53,69
91,-74
-104,62
104,-8
-90,123
44,-29
-73,123
-45,5
1,56
-126,-61
-115,118
97,109
-109,-86
24,-108
-40,-75
105,11
42,-8
-58,-55
-27,103
-87,-39
63,10
-118,-108
122,-14
1,49
42,-110
10,18
-15,-13
-26,-122
-69,68
-45,14
37,-122
57,-40
-120,30
-37,-90
-33,-123
-97,21
-83,31
-15,25
-73,-42
-35,80
47,-28
69,97
-41,-126
-122,81
-86,-39
-54,-49
-21,-52
-48,-64
-11,82
-42,-63
-91,-24
-57,39
5,102
77,122
124,10
46,-117
-77,108
-92,-45
18,-114
-101,-66
84,-108
81,26
70,-3
68,98
65,-74
-63,44
79,117
-19,87
94,24
-90,26
115,-2
-88,42
-117,-29
-29,-62
-54,4
-41,-5
40,118
-33,-105
63,-75
61,-80
-43,83
68,-50
-59,14
-78,99
-117,96
-27,-23
61,-110
58,88
-4,-67
-94,-113
48,87
-60,-102
-34,-80
119,-111
-126,16
-20,96
67,-49
-43,39
-125,-70
97,-118
101,37
-107,10
63,126
-122,-21
-106,115
-57,125
45,-76
-46,94
-116,50
43,-70
19,25
-82,-122
7,54
114,6
115,59
-103,8
69,93
-19,-49
-29,-126
106,-79
8,104
-71,100
-54,86
-56,-62
-102,-74
-31,-39
59,-17
-22,25
-66,-31
14,118
-111,-45
-100,20
-32,-89
115,35
-105,28
103,-41
1,-120
-62,59
-51,-34
27,-17
-90,-96
-97,105
-97,-45
-119,-122
-112,108
70,38
57,-17
101,63
-78,-111
-48,-72
-68,65
-124,-69
-99,89
37,-82
-36,-53
91,125
-5,-25
-87,111
-45,124
24,-53
101,102
64,85
56,42
-93,39
70,-65
24,-99
125,115
-123,76
85,-61
-91,0
113,-114
-40,-22
27,-56
-110,-58
75,108
-57,-61
-118,64
81,33
70,-42
-94,-81
-96,-18
-41,121
-28,44
-59,62
-118,-90
-30,-34
15,-123
-53,-65
-122,88
-56,103
32,-44
-66,-104
-80,28
70,-73
87,-9
40,79
-70,-121
21,125
116,-18
-45,-10
-94,42
61,-48
109,-26
-34,74
-96,52
-87,63
93,19
-3,31
-76,-76
-63,102
52,-102
68,-52
-4,101
108,70
31,-82
-70,108
82,87
-84,-78
107,-9
70,-53
107,46
-70,-68
-16,46
39,58
127,-104
-114,19
-54,-71
-86,-105
107,-78
-99,126
-109,-126
37,-47
-9,51
-25,-62
79,-47
-111,-52
-110,20
114,-19
20,7
125,107
-79,-117
115,-18
37,-99
-21,-69
-97,-85
-58,-9
-113,-39
-121,67
28,76
111,35
56,-62
-115,-127
92,89
-114,44
80,-122
-49,-42
96,68
6,4
-5,-122
-12,-46
-41,-10
-27,14
-28,2
23,42
-103,16
-27,54
100,120
0,106
105,-30
-86,-53
-53,-57
85,71
73,-28
107,89
-73,89
-37,-68
49,-53
110,-88
-17,123
28,84
48,25
75,-23
93,-83
-14,-109
56,119
70,-54
-8,82
31,92
48,9
-85,39
-58,117
1,-36
-75,80
-12,45
77,-66
44,-124
-60,-97
-123,7
32,-14
44,-67
-25,73
98,14
-4,125
-5,-3
104,-27
-47,75
-56,122
92,-55
88,-13
82,97
22,75
123,-125
-63,-118
63,11
-49,7
-122,-68
-57,-32
125,41
-31,-95
125,-2
-61,-105
38,-126
55,-71
55,36
60,18
-99,15
-93,-119
22,32
4,37
34,12
105,88
-36,76
-18,96
75,54
-52,-84
25,105
85,69
-105,-42
22,99
74,87
-113,-76
-50,68
-113,9
-59,-28
-50,-99
-5,-80
59,-115
-26,-11
5,111
-95,8
41,-120
-19,32
91,39
116,24
-65,2
65,-110
120,-90
48,96
25,-1
-7,26
-95,1
-7,-45
47,36
-21,-118
-38,-112
-75,100
-77,-29
-74,-94
-97,75
33,79
118,-66
120,-7
98,-95
61,-124
66,-23
87,-73
-59,73
-45,-125
118,88
-43,82
87,52
88,67
-14,68
109,81
-86,26
-125,-106
86,3
-40,8
-95,10
15,-32
-73,75
39,-39
-21,4
-21,-49
54,127
106,11
36,1
-43,-110
56,-16
-72,-83
-46,-116
-85,-80
-78,-26
90,-88
-83,44
-73,-81
64,94
89,68
-45,-8
-15,-20
75,105
110,-50
-15,-8
-86,87
76,-81
-69,-31
-119,-110
61,95
-44,-103
-104,5
-68,6
-112,10
76,-0
-13,13
-110,-78
121,-22
-50,-75
-74,-81
29,42
75,26
44,-118
-72,123
45,-65
-101,-60
49,73
79,-118
118,-105
84,74
97,-111
18,-59
106,-60
-102,-75
-104,-45
51,-121
-95,-73
34,118
121,-98
-46,-66
18,-70
-50,39
-41,112
33,96
93,-95
-71,-109
-30,-117
-72,-38
-15,63
-2,116
67,-25
-88,51
99,4
117,3
114,-103
-27,26
71,-124
86,100
67,-113
-28,-79
-39,-67
121,-111
77,-88
-109,-30
42,-81
75,-118
62,-85
0,-107
66,81
17,-81
70,88
32,-67
77,-63
12,87
-64,-65
100,-74
90,70
23,-51
-114,71
-1,100
65,-79
101,85
-105,94
2,59
-123,-21
-77,-7
-32,36
58,65
36,104
122,-57
-28,-34
-96,70
94,35
74,-115
90,-53
83,12
123,103
-45,52
-64,123
-79,-27
-122,16
-59,-53
-59,-66
106,55
-4,4
127,-120
-120,103
99,-71
-7,-59
-88,78
38,-111
-38,-77
-101,-18
-37,-120
41,36
-89,-121
58,18
-1,-44
-8,123
18,48
36,-70
-59,-45
-1,-36
92,84
49,-51
4,25
66,4
-102,10
-9,-35
62,2
101,4
-101,48
-50,124
-95,60
-0,53
66,32
42,-14
31,-18
-79,-3
-19,-13
115,30
-93,92
15,41
-115,42
-77,33
2,-105
-19,-1
109,-25
27,-60
-30,103
-112,77
11,-94
7,-81
101,-126
60,114
25,-93
90,20
-101,27
14,73
-50,92
111,9
-20,26
-121,-93
-67,-90
63,-8
100,57
59,62
-54,-39
74,-112
-69,-21
12,-7
-43,-113
44,33
51,-31
19,-43
51,32
102,-43
-3,102
-60,74
48,-121
86,88
120,20
95,-103
-28,57
-110,-11
23,-1
42,-82
-59,81
34,75
70,-45
37,-51
37,65
-53,35
73,-26
-53,108
117,123
-20,45
-13,-7
-37,-99
-57,120
115,-9
-47,43
-61,-117
-115,34
-52,53
-98,-1
62,64
-60,-37
87,17
66,0
-62,70
49,40
-103,66
55,74
36,-123
98,58
-34,32
-85,84
-81,-85
-15,123
-42,78
-45,33
-102,57
4,-65
-116,49
4,27
-117,-124
-30,121
21,105
111,-5
-123,28
-48,-50
40,67
-43,-43
-41,-65
73,-30
-69,-112
-111,23
111,-58
-112,-91
-112,38
6,107
121,108
-115,-44
-12,110
74,-20
85,23
-81,-71
-22,122
102,122
-27,-65
22,66
-44,-117
-57,20
-36,51
33,8
-14,-3
41,-66
-5,-30
-29,-72
-32,19
116,121
-86,-92
-6,-99
118,25
109,-9
-124,103
-122,48
-16,-123
-114,-80
91,76
82,99
-5,-54
39,76
-62,96
45,-79
-59,-25
91,51
-16,38
101,-93
106,55
100,102
5,37
32,-90
-99,-46
-123,-4
-2,73
-24,117
126,-6
127,2
-52,21
2,65
88,72
20,-70
4,-87
-120,22
-124,5
44,88
90,15
91,-62
65,6
-68,-62
6,-91
4,-119
32,49
1,18
-47,8
-119,-78
-115,-12
-1,-74
-113,-6
94,57
-42,-117
-19,33
-126,73
-23,119
49,-124
-18,103
-71,108
95,-64
90,118
-45,5
-30,-66
-67,-70
111,-12
-85,119
32,-94
-91,-86
-87,-125
92,41
-77,-90
117,-76
-34,-58
-126,-72
90,22
88,-91
10,-49
-6,-1
-105,-125
-31,11
6,-28
120,13
-16,38
79,-109
101,79
84,-109
-3,-100
68,122
-124,22
-38,-44
-73,125
33,-20
-43,-60
-76,91
92,25
55,-126
-43,91
113,-125
23,78
-17,-124
-75,12
-79,-26
-124,-54
88,5
-56,-12
-25,104
55,-115
89,-37
-14,-74
54,-79
99,-75
33,-98
124,-39
-83,31
33,-74
47,-15
-84,-48
-89,101
-91,93
-103,-108
106,-22
90,104
-36,-104
-104,109
-43,96
-110,-51
-105,-126
57,126
-23,21
5,-57
-58,18
57,9
94,-60
-82,5
-26,93
-25,120
6,94
-83,-114
-21,-68
-126,123
106,-14
-17,-54
60,20
-102,102
-106,-24
72,-11
108,-125
-69,123
-12,101
-74,-12
-100,-126
-105,21
125,-16
-15,52
-62,38
58,-95
-29,-24
22,-124
70,-80
54,68
114,-91
66,-13
-83,-36
0,-47
-51,-13
92,123
41,53
47,126
-97,-93
28,-123
-35,61
-24,-79
-78,-37
84,-55
113,-23
102,80
26,-74
-19,-93
-125,86
-114,46
5,-65
-4,36
-124,-111
-10,54
-120,126
68,54
-17,117
117,72
17,-64
95,-125
19,11
-6,126
24,31
111,-60
-124,27
-56,110
-108,15
43,-40
33,-16
-103,61
43,-67
-99,-82
34,-87
-83,58
-49,45
-41,-115
89,50
-71,-122
80,79
18,20
22,97
42,-87
-84,11
-11,-29
-36,-28
-97,-72
-60,-2
63,55
28,-16
-42,104
-38,-12
-6,-18
-34,-1
58,-7
-2,38
-112,-7
123,0
-109,30
-27,60
61,-6
49,74
-124,6
11,125
-26,39
-48,9
-4,70
127,-25
116,-120
80,91
119,95
-41,109
97,26
-32,-76
-80,-61
-63,-100
21,-103
-8,55
59,-69
82,74
74,-47
-37,83
-90,94
-88,38
-35,100
-2,28
-1,-111
-18,57
-105,75
68,-61
2,-22
109,112
13,-36
-70,-111
48,69
-55,-80
92,105
-56,5
36,56
5,105
55,108
-3,-32
-70,26
-22,26
-56,-51
-41,-30
49,-55
57,-9
23,-53
-110,84
-67,-109
-91,-30
77,-24
77,-6
44,-72
-21,81
-36,110
-98,94
-104,-6
-79,121
106,-80
